gene	count
ENSG00000185716	177
ENSG00000136231	88
ENSG00000145860	72
ENSG00000180370	52
ENSG00000168214	43
ENSG00000101266	29
ENSG00000099821	24
ENSG00000185864	20
ENSG00000205358	16
ENSG00000133226	15
ENSG00000103226	12
ENSG00000112787	12
ENSG00000116251	12
ENSG00000083635	11
ENSG00000155657	11
ENSG00000169246	11
ENSG00000168614	10
ENSG00000137492	7
ENSG00000100802	5
ENSG00000114416	5
ENSG00000138592	5
ENSG00000155438	5
ENSG00000174373	5
ENSG00000205339	5
ENSG00000127481	4
ENSG00000128731	4
ENSG00000160877	4
ENSG00000170074	4
ENSG00000173674	4
ENSG00000203667	4
ENSG00000005810	3
ENSG00000011566	3
ENSG00000107779	3
ENSG00000115464	3
ENSG00000123104	3
ENSG00000137210	3
ENSG00000147065	3
ENSG00000153107	3
ENSG00000153207	3
ENSG00000157423	3
ENSG00000163319	3
ENSG00000173915	3
ENSG00000178127	3
ENSG00000186275	3
ENSG00000213064	3
ENSG00000015568	2
ENSG00000029363	2
ENSG00000038382	2
ENSG00000077809	2
ENSG00000079974	2
ENSG00000104517	2
ENSG00000105835	2
ENSG00000112414	2
ENSG00000113712	2
ENSG00000130024	2
ENSG00000130158	2
ENSG00000131018	2
ENSG00000134250	2
ENSG00000143252	2
ENSG00000144381	2
ENSG00000144821	2
ENSG00000150093	2
ENSG00000153391	2
ENSG00000154263	2
ENSG00000156795	2
ENSG00000157106	2
ENSG00000164796	2
ENSG00000168702	2
ENSG00000170144	2
ENSG00000176853	2
ENSG00000177200	2
ENSG00000178104	2
ENSG00000196367	2
ENSG00000198947	2
ENSG00000204304	2
ENSG00000204308	2
ENSG00000204790	2
ENSG00000267699	2
ENSG00000001629	1
ENSG00000004866	1
ENSG00000004897	1
ENSG00000007392	1
ENSG00000007402	1
ENSG00000008128	1
ENSG00000008405	1
ENSG00000023228	1
ENSG00000025156	1
ENSG00000029534	1
ENSG00000035141	1
ENSG00000039139	1
ENSG00000042317	1
ENSG00000042781	1
ENSG00000047457	1
ENSG00000048544	1
ENSG00000049759	1
ENSG00000053108	1
